       D_1      total
    0.8800     0.8800
    0.8756     0.8756
    0.9333     0.9333
    0.8622     0.8622
    0.9644     0.9644
    0.9289     0.9289
    0.8978     0.8978
    0.8978     0.8978
    0.9289     0.9289
    0.9200     0.9200
    0.9111     0.9111
    0.9111     0.9111
    0.9156     0.9156
    0.9244     0.9244
    0.9244     0.9244
    0.9111     0.9111
    0.9333     0.9333
    0.9778     0.9778
    0.9067     0.9067
    0.8756     0.8756
    0.9200     0.9200
    0.9111     0.9111
    0.9467     0.9467
    0.9067     0.9067
    0.9244     0.9244
    0.9556     0.9556
    0.9067     0.9067
    0.9333     0.9333
    0.8578     0.8578
    0.9644     0.9644
    0.9289     0.9289
    0.9422     0.9422
    0.8844     0.8844
    0.9467     0.9467
    0.9244     0.9244
    0.8844     0.8844
    0.9378     0.9378
    0.8889     0.8889
    0.9111     0.9111
    0.8978     0.8978
    0.9156     0.9156
    0.9156     0.9156
    0.9556     0.9556
    0.9778     0.9778
    0.9156     0.9156
    0.9022     0.9022
    0.9244     0.9244
    0.9200     0.9200
    0.9022     0.9022
    0.8889     0.8889
    0.9333     0.9333
    0.9511     0.9511
    0.8578     0.8578
    0.8844     0.8844
    0.8489     0.8489
    0.9422     0.9422
    0.9378     0.9378
    0.8622     0.8622
    0.8844     0.8844
    0.9156     0.9156
    0.9156     0.9156
    0.8711     0.8711
    0.9467     0.9467
    0.8844     0.8844
    0.9511     0.9511
    0.9289     0.9289
    0.9289     0.9289
    0.9022     0.9022
    0.9378     0.9378
    0.9333     0.9333
    0.9333     0.9333
    0.9378     0.9378
    0.8933     0.8933
    0.8844     0.8844
    0.9244     0.9244
    0.8667     0.8667
    0.9333     0.9333
    0.9333     0.9333
    0.9111     0.9111
    0.8933     0.8933
    0.9200     0.9200
    0.9156     0.9156
    0.9333     0.9333
    0.8622     0.8622
    0.9067     0.9067
    0.9156     0.9156
    0.9378     0.9378
    0.9244     0.9244
    0.9511     0.9511
    0.9200     0.9200
    0.9333     0.9333
    0.9378     0.9378
    0.9422     0.9422
    0.9022     0.9022
    0.9378     0.9378
    0.9333     0.9333
    0.9156     0.9156
    0.8756     0.8756
    0.9289     0.9289
    0.9244     0.9244
    0.8978     0.8978
    0.9289     0.9289
    0.9067     0.9067
    0.8222     0.8222
    0.9156     0.9156
    0.9200     0.9200
    0.9467     0.9467
    0.9156     0.9156
    0.9378     0.9378
    0.9244     0.9244
    0.9244     0.9244
    0.9111     0.9111
    0.8933     0.8933
    0.9289     0.9289
    0.9200     0.9200
    0.9200     0.9200
    0.9467     0.9467
    0.9378     0.9378
    0.8178     0.8178
    0.9244     0.9244
    0.9156     0.9156
    0.8800     0.8800
    0.8578     0.8578
    0.9289     0.9289
    0.8800     0.8800
    0.9067     0.9067
    0.9200     0.9200
    0.9333     0.9333
    0.9422     0.9422
    0.9156     0.9156
    0.9244     0.9244
    0.9200     0.9200
    0.9556     0.9556
    0.9467     0.9467
    0.9333     0.9333
    0.9556     0.9556
    0.9244     0.9244
    0.9467     0.9467
    0.8711     0.8711
    0.9333     0.9333
    0.9333     0.9333
    0.9556     0.9556
    0.9244     0.9244
    0.9289     0.9289
    0.9422     0.9422
    0.9289     0.9289
    0.9467     0.9467
    0.9556     0.9556
    0.9422     0.9422
    0.9200     0.9200
    0.9422     0.9422
    0.9289     0.9289
    0.9511     0.9511
    0.9333     0.9333
    0.9556     0.9556
    0.8489     0.8489
    0.9289     0.9289
    0.8933     0.8933
    0.9644     0.9644
    0.9200     0.9200
    0.9244     0.9244
    0.9422     0.9422
    0.8622     0.8622
    0.8578     0.8578
    0.8667     0.8667
    0.9378     0.9378
    0.9733     0.9733
    0.9289     0.9289
